Model,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
Model 1, 1, 0.4848, 83.62, 0.2794, 90.35
Model 1, 2, 0.1918, 93.55, 0.2362, 92.22
Model 1, 3, 0.1112, 96.13, 0.2572, 91.97
Model 1, 4, 0.0808, 97.18, 0.2359, 92.58
Model 1, 5, 0.04767, 98.42, 0.2272, 93.40
Model 1, 6, 0.05405, 98.12, 0.2277, 93.24
Model 1, 7, 0.04295, 98.50, 0.2729, 92.53
Model 1, 8, 0.02565, 99.16, 0.2061, 94.02
